Community Name,community_area,White,Black,Asian,Hispanic,Total Households,Average
Albany Park,14,54976,45725,44191,42342,16661,46198
Archer Heights,57,41236,n/a,n/a,42824,3639,42571
Armour Square,34,60055,11119,25863,47139,5110,27619
Ashburn,70,52654,75039,89471,52011,12995,62238
Auburn Gresham,71,n/a,34589,n/a,n/a,17699,34767
Austin,25,57423,30043,60975,53065,33345,32358
Avalon Park,45,n/a,46108,n/a,n/a,4092,46903
Avondale,21,45019,56243,66240,46191,13641,46519
Belmont Cragin,19,41215,23942,78487,44727,21976,42842
Beverly,72,93187,65594,n/a,109830,8023,83092
Bridgeport,60,49805,23709,39830,38730,12003,42382
Brighton Park,58,35771,38612,59404,39026,11676,39289
Burnside,47,n/a,32507,n/a,n/a,1148,32553
Calumet Heights,48,n/a,56774,n/a,22236,5830,55669
Chatham,44,n/a,32306,n/a,n/a,15027,32057
Chicago Lawn,66,35599,35152,n/a,43893,15724,37779
Clearing,64,50150,n/a,n/a,62698,8552,54123
Douglas,35,55999,31333,28037,73872,9097,32805
Dunning,17,59356,102399,88388,63804,15397,61584
East Garfield Park,27,77607,22105,n/a,36232,6710,24488
East Side,52,42623,24767,n/a,41818,7146,41196
Edgewater,77,52860,20430,48794,41545,29549,43331
Edison Park,9,77905,n/a,n/a,57807,4689,77678
Englewood,68,n/a,19721,n/a,n/a,11117,19743
Forest Glen,12,89280,n/a,89309,80052,6799,87394
Fuller Park,37,n/a,15276,n/a,n/a,1119,15086
Gage Park,63,38118,26761,n/a,39951,9159,38855
Garfield Ridge,56,59368,48806,94170,67870,12128,61206
Grand Boulevard,38,70092,27056,n/a,55000,9552,28040
Greater Grand Crossing,69,n/a,29901,n/a,46103,13513,29663
Hegewisch,55,47949,46649,n/a,53101,3830,49924
Hermosa,20,50088,22824,53685,41356,6962,42418
Humboldt Park,23,43802,21164,66066,36181,17012,29605
Hyde Park,41,56523,41169,33920,28803,12609,45335
Irving Park,16,56645,47140,65294,48272,19994,54048
Jefferson Park,11,57002,n/a,101000,71149,10066,60592
Kenwood,39,76719,36670,40979,42104,9322,39371
Lake View,6,77123,33595,62329,46186,54187,70746
Lincoln Park,7,90438,31276,67565,57082,32418,82707
Lincoln Square,4,62015,52285,48109,42993,17652,57749
Logan Square,22,66221,26611,77385,34346,30120,49610
Loop,32,93674,38042,68853,48550,11464,78124
Lower West Side,31,37374,24077,30047,34905,11867,34573
Mckinley Park,59,39262,n/a,33701,48158,5018,42327
Montclare,18,49375,18052,n/a,48406,4436,47460
Morgan Park,75,84846,45706,n/a,71338,8004,56886
Mount Greenwood,74,82120,62901,n/a,91639,6714,80505
Near North Side,8,86609,15005,73457,48484,48309,76290
Near South Side,33,106012,35515,83777,73345,10184,75995
Near West Side,28,82739,20294,76172,41242,23634,62770
New City,61,42106,28459,76822,30686,12186,32222
North Center,5,89072,34802,68500,44614,14725,81524
North Lawndale,29,51106,25034,n/a,33473,11129,25797
North Park,13,56701,36439,53641,46733,6499,53305
Norwood Park,10,63027,n/a,88923,68760,14956,64477
O'Hare,76,48900,44906,60965,50239,5965,49601
Oakland,36,110302,20000,n/a,n/a,2445,20800
Portage Park,15,54084,35990,69433,50329,22672,52356
Pullman,50,53500,37167,n/a,37154,3157,40059
Riverdale,54,n/a,12977,n/a,n/a,2039,13380
Rogers Park,1,49115,28468,60548,35105,23399,39482
Roseland,49,19310,40333,n/a,n/a,16181,40142
South Chicago,46,29793,30900,n/a,31738,11597,31164
South Deering,51,40692,40585,n/a,34332,5335,38594
South Lawndale,30,31652,27947,n/a,34161,15787,33593
South Shore,43,56894,27346,n/a,26058,22397,27903
Uptown,3,56862,17977,34496,28026,29813,40324
Washington Heights,73,n/a,42026,n/a,n/a,9816,42053
Washington Park,40,n/a,21463,n/a,n/a,3927,21899
West Elsdon,62,50987,77647,n/a,50854,4910,51003
West Englewood,67,n/a,26511,n/a,38797,10674,26654
West Garfield Park,26,n/a,22596,n/a,n/a,6072,23033
West Lawn,65,41482,43886,n/a,49317,9052,46891
West Pullman,53,48591,38783,n/a,47396,10048,39601
West Ridge,2,50863,39355,47050,43687,24259,47323
West Town,24,77338,24936,71093,34242,36830,60720
Woodlawn,42,50242,26265,35450,34701,10234,27413
