id	total	white	black	Asian	other
0101001	763	329	249	185	0
0101002	2676	522	1988	96	15
0101003	1764	984	376	83	67
0102011	1570	637	624	197	112
0102012	4193	1332	1896	291	514
0102013	1007	531	316	133	27
0102021	1399	825	318	34	99
0102022	1309	536	584	16	85
0103001	829	572	96	3	138
0103002	2312	1185	655	165	221
0103003	1797	871	607	167	81
0103004	1344	855	247	151	76
0104001	1308	1036	170	92	0
0104002	1007	727	49	193	12
0104003	2422	1690	403	186	51
0105011	829	619	131	23	0
0105012	2267	798	1359	109	1
0105013	914	649	106	82	45
0105021	1522	938	218	81	142
0105022	2312	1157	412	588	2
0105031	1397	1039	136	175	0
0105032	662	540	60	39	11
0106001	2423	1142	806	130	239
0106002	1212	415	442	0	312
0106003	1402	757	325	113	150
0106004	1594	773	246	18	532
0107011	1496	1030	184	0	186
0107012	2417	1278	480	57	467
0107021	1403	561	213	60	569
0107022	1541	650	446	0	394
0107023	1372	691	212	21	401
0107024	873	612	143	0	118
0201001	2077	967	666	417	0
0201002	1503	596	747	145	11
0202001	1690	1137	463	90	0
0202002	1660	929	497	187	47
0202003	1678	1024	108	496	0
0202004	1696	681	413	557	0
0203011	1376	1275	71	30	0
0203012	1160	901	84	175	0
0203013	2158	1764	74	27	178
0203021	1652	777	360	191	310
0203022	1075	422	0	454	42
0203023	1984	1726	75	83	55
0204001	833	660	89	41	43
0204002	1196	962	102	75	11
0204003	1942	1007	283	386	111
0205001	2039	742	451	277	239
0205002	728	239	272	75	142
0205003	2404	1146	49	916	165
0205004	1004	259	134	251	332
0206011	2797	1903	0	404	403
0206012	2505	1519	117	281	479
0206013	1273	214	376	492	178
0206021	1059	433	58	149	299
0206022	1230	208	225	421	295
0206023	1206	540	67	354	208
0206024	705	495	20	160	18
0207011	836	435	0	245	90
0207012	1166	637	116	231	171
0207021	1992	818	0	1125	49
0207022	2741	1404	431	649	142
0207023	1711	914	99	678	3
0207024	871	567	0	288	3
0208011	1856	978	139	94	633
0208012	589	358	0	56	175
0208013	950	684	75	141	50
0208014	2145	1213	30	571	236
0208021	703	422	0	102	146
0208022	2371	723	171	841	579
0208023	3050	881	846	696	440
0208024	1482	734	166	484	62
0209011	3010	827	256	1416	503
0209012	1018	540	64	250	121
0209013	2291	1200	395	389	250
0209021	2703	1027	529	904	198
0209022	1757	1164	229	205	159
0301011	733	319	102	97	209
0301012	405	245	97	63	0
0301013	1201	851	287	13	24
0301014	1330	894	207	188	17
0301021	1259	767	90	366	36
0301022	964	554	163	107	65
0301023	889	449	294	102	0
0301031	936	467	357	3	0
0301032	846	660	75	100	11
0301041	2903	1862	479	319	172
0301042	603	102	262	86	0
0302001	1784	1162	312	0	292
0302002	1129	642	123	260	0
0302003	969	969	0	0	0
0302004	1538	939	140	111	240
0303001	1244	557	195	186	272
0303002	1540	1141	78	57	239
